Date,Time,Sport,Opponent,Level,Game Type
8/12/2022,6:00 PM,Football,TBA - Tustin - PV - La Serna,Varsity,Scrimmage
8/12/2022,4:00 PM,Football,TBA - Tustin - PV - La Serna,Junior Varsity,Scrimmage
8/12/2022,3:00 PM,Football,TBA - Tustin - PV - La Serna,Freshman,Scrimmage
8/16/2022,4:00 PM,"Volleyball, Girls",@Aliso Niguel,Frosh/Soph,Non-League
8/16/2022,4:00 PM,"Volleyball, Girls",@Aliso Niguel,Junior Varsity,Non-League
8/16/2022,5:30 PM,"Volleyball, Girls",@Aliso Niguel,Varsity,Non-League
8/18/2022,3:15 PM,Football,@Cypress,Junior Varsity,Non-League
8/18/2022,3:15 PM,Football,Cypress,Freshman,Non-League
8/18/2022,4:30 PM,"Volleyball, Girls",St. Margarets Episcopal,Frosh/Soph,Non-League
8/18/2022,4:30 PM,"Volleyball, Girls",St. Margarets Episcopal,Junior Varsity,Non-League
8/18/2022,6:00 PM,"Volleyball, Girls",St. Margarets Episcopal,Varsity,Non-League
8/19/2022,7:00 PM,Football,Cypress,Varsity,Non-League
8/23/2022,5:00 PM,"Volleyball, Girls",@San Clemente,Frosh/Soph,Non-League
8/23/2022,5:00 PM,"Volleyball, Girls",@San Clemente,Junior Varsity,Non-League
8/23/2022,6:15 PM,"Volleyball, Girls",@San Clemente,Varsity,Non-League
8/25/2022,3:15 PM,Football,Tustin,Junior Varsity,Non-League
8/25/2022,3:15 PM,Football,@Tustin,Freshman,Non-League
8/25/2022,4:30 PM,"Volleyball, Girls",Capistrano Valley,Frosh/Soph,Non-League
8/25/2022,4:30 PM,"Volleyball, Girls",Capistrano Valley,Junior Varsity,Non-League
8/25/2022,6:00 PM,"Volleyball, Girls",Capistrano Valley,Varsity,Non-League
8/25/2022,3:15 PM,"Water Polo, Boys",@Carlsbad,All Levels,Non-League
8/26/2022,7:00 PM,Football,@Tustin,Varsity,Non-League
8/29/2022,3:30 PM,"Volleyball, Girls",@Dana Hills,Frosh/Soph,Non-League
8/29/2022,4:45 PM,"Volleyball, Girls",@Dana Hills,Junior Varsity,Non-League
8/29/2022,6:00 PM,"Volleyball, Girls",@Dana Hills,Varsity,Non-League
8/30/2022,4:30 PM,"Volleyball, Girls",Laguna Beach,Frosh/Soph,Non-League
8/30/2022,4:30 PM,"Volleyball, Girls",Laguna Beach,Junior Varsity,Non-League
8/30/2022,6:00 PM,"Volleyball, Girls",Laguna Beach,Varsity,Non-League
8/30/2022,3:15 PM,"Water Polo, Boys",@Corona Del Mar,All Levels,Non-League
9/1/2022,3:15 PM,Football,@TBA - Bye,Junior Varsity,Non-League
9/1/2022,3:15 PM,Football,Paramount,Freshman,Non-League
9/1/2022,3:15 PM,"Water Polo, Boys",Oaks Christian,All Levels,Non-League
9/2/2022,7:00 PM,Football,@Galena,Varsity,Non-League
9/2/2022,3:00 PM,"Water Polo, Boys",@TBA - San Clemente F/S Tourname,Frosh/Soph,Tournament
9/3/2022,3:00 PM,"Water Polo, Boys",@TBA - San Clemente F/S Tourname,Frosh/Soph,Tournament
9/6/2022,3:30 PM,"Volleyball, Girls",@Mater Dei,Frosh/Soph,Non-League
9/6/2022,4:30 PM,"Volleyball, Girls",@Mater Dei,Junior Varsity,Non-League
9/6/2022,5:45 PM,"Volleyball, Girls",@Mater Dei,Varsity,Non-League
9/7/2022,3:15 PM,"Water Polo, Boys",Newport Harbor,All Levels,Non-League
9/8/2022,3:15 PM,Football,Troy,Junior Varsity,Non-League
9/8/2022,3:15 PM,Football,@Troy,Freshman,Non-League
9/9/2022,7:00 PM,Football,@Troy,Varsity,Non-League
9/9/2022,2:00 PM,"Volleyball, Girls",@Edison,Varsity,Tournament
9/10/2022,8:00 AM,"Volleyball, Girls",@Edison,Varsity,Tournament
9/10/2022,TBA,"Lacrosse, Boys",@ TBA - Laguna Hills Invitational,All Levels,Non-League
9/10/2022,TBA,"Lacrosse, Girls",@ TBA - Laguna Hills Invitational,All Levels,Non-League
9/13/2022,TBA,"Volleyball, Girls",@Esperanza,Frosh/Soph,League
9/13/2022,TBA,"Volleyball, Girls",@Esperanza,Junior Varsity,League
9/13/2022,TBA,"Volleyball, Girls",@Esperanza,Varsity,League
9/13/2022,6:00 PM,"Volleyball, Girls",@Esperanza,Varsity,League
9/13/2022,4:40 PM,"Volleyball, Girls",@Esperanza,Junior Varsity,League
9/13/2022,3:15 PM,"Volleyball, Girls",@Esperanza,Frosh/Soph,League
9/13/2022,3:00 PM,"Golf, Girls",@Canyon/Anaheim,Varsity,League
9/13/2022,3:00 PM,"Golf, Girls",Canyon/Anaheim,Junior Varsity,League
9/15/2022,4:30 PM,"Volleyball, Girls",El Dorado,Frosh/Soph,League
9/15/2022,4:30 PM,"Volleyball, Girls",El Dorado,Junior Varsity,League
9/15/2022,6:00 PM,"Volleyball, Girls",El Dorado,Varsity,League
9/15/2022,3:00 PM,"Water Polo, Boys","@ TBA, TBA - South Coast Tournament",Varsity,Tournament
9/15/2022,6:00 PM,"Volleyball, Girls",El Dorado,Varsity,League
9/15/2022,4:40 PM,"Volleyball, Girls",El Dorado,Junior Varsity,League
9/15/2022,3:15 PM,"Volleyball, Girls",El Dorado,Frosh/Soph,League
9/15/2022,3:00 PM,"Golf, Girls",@Yorba Linda,Junior Varsity,League
9/15/2022,3:00 PM,"Golf, Girls",Yorba Linda,Varsity,League
9/16/2022,8:00 AM,"Volleyball, Girls",@TBA,Varsity,Tournament
9/16/2022,3:00 PM,"Water Polo, Boys",@ - South Coast Tournament,Varsity,Tournament
9/16/2022,3:00 PM,"Water Polo, Boys","@ TBA, TBA - Irvine JV tournmant",Junior Varsity,Tournament
9/17/2022,8:00 AM,"Volleyball, Girls",@Edison,Junior Varsity,Tournament
9/17/2022,8:00 AM,"Volleyball, Girls",@TBA,Varsity,Tournament
9/17/2022,3:00 PM,"Water Polo, Boys",@ - South Coast Tournament,Varsity,Tournament
9/17/2022,3:00 PM,"Water Polo, Boys",@ - Irvine JV tournmant,Junior Varsity,Tournament
9/17/2022,TBA,"Lacrosse, Boys",@TBA - Woodbridge Cross Country,All Levels,Non-League
9/17/2022,TBA,"Lacrosse, Girls",@TBA - Woodbridge Cross Country,All Levels,Non-League
9/20/2022,TBA,"Volleyball, Girls",@Yorba Linda,Frosh/Soph,League
9/20/2022,TBA,"Volleyball, Girls",@Yorba Linda,Junior Varsity,League
9/20/2022,TBA,"Volleyball, Girls",@Yorba Linda,Varsity,League
9/20/2022,3:15 PM,"Water Polo, Boys",Palos Verdes,All Levels,Non-League
9/20/2022,6:00 PM,"Volleyball, Girls",@Yorba Linda,Varsity,League
9/20/2022,4:40 PM,"Volleyball, Girls",@Yorba Linda,Junior Varsity,League
9/20/2022,3:15 PM,"Volleyball, Girls",@Yorba Linda,Frosh/Soph,League
9/20/2022,3:00 PM,"Golf, Girls",El Dorado,Junior Varsity,League
9/20/2022,3:00 PM,"Tennis, Girls",Brea Olinda,Varsity,League
9/20/2022,3:00 PM,"Tennis, Girls",@Brea Olinda,Junior Varsity,League
9/20/2022,3:00 PM,"Golf, Girls",@El Dorado,Varsity,League
9/21/2022,TBA,"Cross Country, Girls",@TBA - Preview Meet Yorba Region,Varsity,League
9/21/2022,TBA,"Cross Country, Boys",@TBA - Preview Meet Yorba Region,Varsity,League
9/21/2022,TBA,"Lacrosse, Boys",@TBA - Century League Cluster,All Levels,Non-League
9/21/2022,TBA,"Cross Country, Girls",@TBA - Century League Cluster,All Levels,Non-League
9/22/2022,3:15 PM,Football,@Chino Hills,Junior Varsity,Non-League
9/22/2022,3:15 PM,Football,Chino Hills,Freshman,Non-League
9/22/2022,TBA,"Volleyball, Girls",@Villa Park,Frosh/Soph,League
9/22/2022,TBA,"Volleyball, Girls",@Villa Park,Junior Varsity,League
9/22/2022,TBA,"Volleyball, Girls",@Villa Park,Varsity,League
9/22/2022,6:00 PM,"Volleyball, Girls",@Villa Park,Varsity,League
9/22/2022,4:40 PM,"Volleyball, Girls",@Villa Park,Junior Varsity,League
9/22/2022,3:15 PM,"Volleyball, Girls",@Villa Park,Frosh/Soph,League
9/22/2022,3:00 PM,"Golf, Girls",Esperanza,Varsity,League
9/22/2022,3:00 PM,"Golf, Girls",@Esperanza,Junior Varsity,League
9/22/2022,3:00 PM,"Tennis, Girls",@Esperanza,Varsity,League
9/22/2022,3:00 PM,"Tennis, Girls",Esperanza,Junior Varsity,League
9/23/2022,7:00 PM,Football,Chino Hills,Varsity,Non-League
9/24/2022,8:00 AM,"Volleyball, Girls",@Edison,Frosh/Soph,Tournament
9/24/2022,8:00 AM,"Volleyball, Girls",@Portola,Junior Varsity,Tournament
9/24/2022,TBA,"Cross Country, Boys",@TBA - Dana Hills Invitational,All Levels,Non-League
9/24/2022,TBA,"Cross Country, Girls",@TBA - Dana Hills Invitational,All Levels,Non-League
9/27/2022,4:30 PM,"Volleyball, Girls",Canyon/Anaheim,Frosh/Soph,League
9/27/2022,4:30 PM,"Volleyball, Girls",Canyon/Anaheim,Junior Varsity,League
9/27/2022,6:00 PM,"Volleyball, Girls",Canyon/Anaheim,Varsity,League
9/27/2022,6:00 PM,"Volleyball, Girls",Canyon/Anaheim,Varsity,League
9/27/2022,4:40 PM,"Volleyball, Girls",Canyon/Anaheim,Junior Varsity,League
9/27/2022,3:15 PM,"Volleyball, Girls",Canyon/Anaheim,Frosh/Soph,League
9/27/2022,3:00 PM,"Golf, Girls",@El Modena,Varsity,League
9/27/2022,3:00 PM,"Golf, Girls",Brea Olinda,Varsity,League
9/27/2022,3:00 PM,"Golf, Girls",El Modena,Junior Varsity,League
9/27/2022,3:00 PM,"Golf, Girls",@Brea Olinda,Junior Varsity,League
9/27/2022,3:00 PM,"Tennis, Girls",El Modena,Varsity,League
9/27/2022,4:15 PM,"Water Polo, Boys",@Villa Park,Varsity,League
9/27/2022,3:00 PM,"Tennis, Girls",@El Modena,Junior Varsity,League
9/27/2022,3:15 PM,"Water Polo, Boys",@Villa Park,Frosh/Soph,League
9/27/2022,5:15 PM,"Water Polo, Boys",@Villa Park,Junior Varsity,League
9/29/2022,3:15 PM,Football,Canyon/Anaheim,Junior Varsity,Non-League
9/29/2022,3:15 PM,Football,@Canyon/Anaheim,Freshman,Non-League
9/29/2022,TBA,"Volleyball, Girls",@Brea Olinda,Frosh/Soph,League
9/29/2022,TBA,"Volleyball, Girls",@Brea Olinda,Junior Varsity,League
9/29/2022,TBA,"Volleyball, Girls",@Brea Olinda,Varsity,League
9/29/2022,6:00 PM,"Water Polo, Boys",Stevenson School,Varsity,Non-League
9/29/2022,6:00 PM,"Volleyball, Girls",@Brea Olinda,Varsity,League
9/29/2022,4:40 PM,"Volleyball, Girls",@Brea Olinda,Junior Varsity,League
9/29/2022,3:15 PM,"Volleyball, Girls",@Brea Olinda,Frosh/Soph,League
9/29/2022,3:00 PM,"Golf, Girls",Villa Park,Varsity,League
